1	0.457	0.0615
2	0.607	0.054
3	0.722	0.0348
4	0.774	0.0226
5	0.809	0.0164
6	0.828	0.0139
7	0.857	0.0146
8	0.88	0.0104
9	0.898	0.0077
10	0.909	0.00669
11	0.919	0.0064
12	0.927	0.00625
13	0.936	0.00596
14	0.941	0.00467
15	0.945	0.00424
16	0.948	0.00544
17	0.952	0.00318
18	0.954	0.00367
19	0.955	0.00337
20	0.957	0.00401
21	0.958	0.00335
22	0.958	0.00325
23	0.957	0.00359
24	0.955	0.00511
25	0.955	0.00526
26	0.954	0.00552
27	0.95	0.0068
28	0.949	0.00609
29	0.946	0.00587
30	0.944	0.00651
31	0.938	0.00671
32	0.926	0.0113
33	0.91	0.0115
34	0.896	0.0096
35	0.866	0.0267
36	0.832	0.0284
37	0.787	0.0285
38	0.723	0.0375
39	0.616	0.0523
40	0.474	0.0704
