1	0.225	0.0712
2	0.409	0.0531
3	0.565	0.0547
4	0.679	0.0376
5	0.759	0.0269
6	0.792	0.013
7	0.814	0.0112
8	0.838	0.0099
9	0.858	0.00996
10	0.871	0.00667
11	0.877	0.00477
12	0.88	0.00455
13	0.886	0.00699
14	0.89	0.008
15	0.893	0.0096
16	0.898	0.0101
17	0.903	0.00793
18	0.905	0.00701
19	0.906	0.00707
20	0.905	0.00711
21	0.905	0.00721
22	0.904	0.00628
23	0.904	0.00538
24	0.904	0.00623
25	0.902	0.00688
26	0.9	0.00575
27	0.896	0.00709
28	0.888	0.00704
29	0.881	0.00829
30	0.872	0.0102
31	0.863	0.00921
32	0.851	0.0105
33	0.834	0.0126
34	0.816	0.0127
35	0.795	0.0157
36	0.757	0.0252
37	0.694	0.0291
38	0.594	0.0453
39	0.426	0.0667
40	0.216	0.0686
